env_id,mean_max_return,individual_max_returns,mean_max_normalized_human_score,n_runs
Atlantis-v5,851972.3958333334,"[958678.125, 817264.0625, 779975.0]",51.867796331666476,3
CrazyClimber-v5,94427.08333333333,"[101445.3125, 91160.9375, 90675.0]",3.33933160072232,3
RoadRunner-v5,53054.166666666664,"[70834.375, 59920.3125, 28407.8125]",6.771260185953491,3
Defender-v5,39229.427083333336,"[43957.8125, 37900.0, 35830.46875]",2.298849598045663,3
VideoPinball-v5,24167.619791666668,"[27565.046875, 22767.640625, 22170.171875]",5.606463353413648,3
KungFuMaster-v5,17055.729166666668,"[20656.25, 15545.3125, 14965.625]",0.7472808356096534,3
YarsRevenge-v5,11646.708333333334,"[11824.15625, 11808.140625, 11307.828125]",0.16614498355476134,3
Krull-v5,8261.5625,"[8335.46875, 8250.46875, 8198.75]",6.242213114754098,3
NameThisGame-v5,6437.291666666667,"[6847.8125, 6403.75, 6060.3125]",0.7200291254827708,3
Qbert-v5,6366.145833333333,"[6975.0, 6547.65625, 5575.78125]",0.4666465404167702,3
UpNDown-v5,6334.84375,"[7188.4375, 6654.53125, 5161.5625]",0.5198519462714386,3
BattleZone-v5,5645.833333333333,"[5968.75, 5906.25, 5062.5]",0.0943459431005192,3
Centipede-v5,5299.942708333333,"[5624.765625, 5169.234375, 5105.828125]",0.32329340912678023,3
Gopher-v5,5149.895833333333,"[9928.125, 4127.1875, 1394.375]",2.2703122341330606,3
Hero-v5,5063.020833333333,"[5356.40625, 5107.890625, 4724.765625]",0.1354396676890586,3
Phoenix-v5,4156.302083333333,"[4559.375, 4034.375, 3875.15625]",0.523807641074698,3
TimePilot-v5,4150.520833333333,"[4570.3125, 4254.6875, 3626.5625]",0.3506626735693074,3
Riverraid-v5,3593.75,"[3995.0, 3472.03125, 3314.21875]",0.14292277955575272,3
WizardOfWor-v5,3023.9583333333335,"[4045.3125, 2840.625, 2185.9375]",0.5868014150568408,3
Solaris-v5,2953.2291666666665,"[3312.5, 3080.625, 2466.5625]",0.154812194931352,3
StarGunner-v5,2479.1666666666665,"[3837.5, 1900.0, 1700.0]",0.18935600528548577,3
ChopperCommand-v5,2247.3958333333335,"[2465.625, 2185.9375, 2090.625]",0.21840345355390667,3
MsPacman-v5,2180.2604166666665,"[2291.875, 2188.4375, 2060.46875]",0.2818898027883549,3
Asterix-v5,1887.7604166666667,"[1943.75, 1878.90625, 1840.625]",0.2023031141604267,3
Alien-v5,1498.9583333333333,"[1550.46875, 1522.34375, 1424.0625]",0.18422851538911197,3
Asteroids-v5,1483.75,"[1606.5625, 1435.46875, 1409.21875]",0.01638432727085726,3
Kaboom-v5,1231.8854166666667,"[1277.203125, 1242.640625, 1175.8125]",0.031443536254109596,3
Assault-v5,1065.421875,"[1090.53125, 1060.0625, 1045.671875]",1.6224439472671284,3
BeamRider-v5,887.6354166666666,"[1005.46875, 940.875, 716.5625]",0.031621570083602016,3
Kangaroo-v5,801.0416666666666,"[956.25, 756.25, 690.625]",0.25110347524863114,3
Zaxxon-v5,773.9583333333334,"[1437.5, 657.8125, 226.5625]",0.08111525614096506,3
Berzerk-v5,635.9375,"[718.90625, 596.25, 592.65625]",0.2043473491044002,3
Seaquest-v5,607.7083333333334,"[1079.375, 400.9375, 342.8125]",0.012844864475634514,3
MarioBros-v5,587.5,"[625.0, 625.0, 512.5]",0.0006004521051144392,3
Enduro-v5,585.1354166666666,"[695.59375, 676.4375, 383.375]",0.679994673639357,3
LaserGates-v5,483.0208333333333,"[594.765625, 460.546875, 393.75]",0.003931156382700909,3
SpaceInvaders-v5,408.8802083333333,"[460.3125, 385.234375, 381.09375]",0.17155271147059467,3
Gravitar-v5,354.9479166666667,"[388.28125, 348.4375, 328.125]",0.05724512857622283,3
Frostbite-v5,261.5104166666667,"[265.3125, 260.46875, 258.75]",0.045979720498106724,3
Jamesbond-v5,210.15625,"[255.46875, 194.53125, 180.46875]",0.6616371439006573,3
DemonAttack-v5,194.296875,"[221.171875, 197.734375, 163.984375]",0.023199117598548577,3
Et-v5,186.30208333333334,"[267.96875, 267.96875, 22.96875]",0.008724477602045979,3
BankHeist-v5,176.66666666666666,"[378.125, 96.875, 55.0]",0.21987639283619795,3
Tutankham-v5,148.34895833333334,"[165.015625, 164.078125, 115.953125]",0.8767538945795987,3
Amidar-v5,142.859375,"[173.34375, 144.75, 110.484375]",0.07997862811460582,3
Boxing-v5,92.51041666666667,"[96.09375, 93.390625, 88.046875]",7.7008680555555555,3
PrivateEye-v5,76.35416666666667,"[79.6875, 76.5625, 72.8125]",0.000739853776279817,3
Venture-v5,53.645833333333336,"[70.3125, 48.4375, 42.1875]",0.04517543859649123,3
Bowling-v5,42.911458333333336,"[68.953125, 31.109375, 28.671875]",0.14397862160852712,3
Freeway-v5,22.645833333333332,"[22.703125, 22.671875, 22.5625]",0.7650619369369368,3
Breakout-v5,4.770833333333333,"[6.921875, 4.125, 3.265625]",0.1066261574074074,3
Robotank-v5,3.7552083333333335,"[4.4375, 3.5625, 3.265625]",0.16033075601374572,3
MontezumaRevenge-v5,3.125,"[6.25, 1.5625, 1.5625]",0.0006574379904487408,3
Tennis-v5,0.0,"[0.0, 0.0, 0.0]",1.5354838709677423,3
Skiing-v5,0.0,"[0.0, 0.0, 0.0]",1.3398504842804753,3
IceHockey-v5,0.0,"[0.0, 0.0, 0.0]",0.9256198347107437,3
FishingDerby-v5,0.0,"[0.0, 0.0, 0.0]",1.730188679245283,3
Surround-v5,0.0,"[0.0, 0.0, 0.0]",0.6060606060606061,3
DoubleDunk-v5,0.0,"[0.0, 0.0, 0.0]",8.454545454545444,3
Pong-v5,0.0,"[0.0, 0.0, 0.0]",0.5864022662889519,3
Pitfall-v5,0.0,"[0.0, 0.0, 0.0]",0.034274103180887784,3
